	RC	RC_subj	RC_subj_pos	relativizer_word	relativizer_func	RC_modifier_head	RC_modifier_NP	RC_location	RC_context	sentence
80300	who wears colored lip gloss	who	PRON	who	nsubj	Meadows	Sorley Meadows	(3, 7)	(',', ',')	Sorley Meadows , who wears colored lip gloss , was sitting next to me .
80301	who is someone I once had a crush on until I saw him picking his nose in the cloakroom	him	PRON	who	nsubj	Riley	John Riley	(3, 21)	(',', ',')	John Riley , who is someone I once had a crush on until I saw him picking his nose in the cloakroom , was a swan .
80302	who used to be my best friend because we had the same name	we	PRON	who	nsubj	Snope	Emma Valerie Snope	(4, 16)	(',', ',')	Emma Valerie Snope , who used to be my best friend because we had the same name , was a swan .
80303	who promotes disorder FRAYED	who	PRON	who	nsubj	person	a person	(6, 9)	('person', ':')	Sidebar vocab ANARCHIST : a person who promotes disorder FRAYED : worn at the edges
80304	who tell the story	who	PRON	who	nsubj	p	< p	(5, 8)	('1,2,3-people', '<')	<p> Narrators 1,2,3-people who tell the story <p> Fred-Scrooge 's nephew <p
80305	that have happened	that	DET	that	nsubj	things	things	(6, 8)	('things', '.')	I only show you things that have happened .
80306	that hides its face	that	DET	that	nsubj	hood	a black hood	(5, 8)	('hood', '.')	It wears a black hood that hides its face .
80307	that will rekindle the flame	that	DET	that	nsubj	spark	the spark	(6, 10)	('spark', '!')	The dragon is the spark that will rekindle the flame !
80308	who has grown bigger and is wearing a saddle	who	PRON	who	nsubj	Saplura	Saplura	(10, 18)	(',', '.')	Eragon walks toward the trees to find Saplura , who has grown bigger and is wearing a saddle .
80309	who can save me	who	PRON	who	nsubj	one	the only one	(8, 11)	('one', '.')	Eragon , you 're the only one who can save me .
80310	that hinted rather than	that	DET	that	nsubj	fragrance	a spicy fragrance	(17, 20)	('fragrance', 'shouted')	His Edison/Tesla hybrid was showing great promise , with double blooms and a spicy fragrance that hinted rather than shouted its presence in the garden .
80311	that drained the strength from their hosts like politicians draining money from a researcher 's budget	politicians	NOUN	that	nsubj	parasites	Tiny sapsucking parasites	(3, 18)	('parasites', '.')	Tiny sapsucking parasites that drained the strength from their hosts like politicians draining money from a researcher 's budget .
80312	that would cost him dearly in time , prestige , and satisfaction	that	DET	that	nsubj	one	one	(16, 27)	('one', '.')	Not a death knell for the plant , but a definite setback , and one that would cost him dearly in time , prestige , and satisfaction .
80313	that filtered silicon dioxide out of seawater and built elaborate	that	SCONJ	that	nsubj	creatures	little celled creatures	(17, 26)	(',', ',')	That 's what diatoms were : little single-celled creatures , neither plant nor animal , that filtered silicon dioxide out of seawater and built elaborate ,
80314	that eventually destroyed it	that	DET	that	nsubj	energy	the energy	(18, 21)	('energy', '.')	It was like throwing sand into an engine ; the engine 's own movement provided the energy that eventually destroyed it .
80315	that powered nearly every eukaryotic cell	that	DET	that	nsubj	mitochondrion	the mitochondrion	(15, 20)	('mitochondrion', '.')	Evolution had already designed the perfect power source for a nanoscale device : the mitochondrion that powered nearly every eukaryotic cell .
80316	which was full of junk	which	DET	which	nsubj	genome	their genome	(27, 31)	(',', '.')	On a whim , Robert did an internet search for information on them , and learned several surprising things , the most interesting being their genome , which was full of junk .
80317	that followed	that	DET	that	nsubj	days	the days	(22, 23)	('days', 'he')	He put them in a saltwater aquarium , where they would n't face competition from natural diatoms , and in the days that followed he monitored the water for growth .
80318	that had inadvertently - or deliberately - left behind their technology while picnicking on a beach somewhere	that	DET	that	nsubj	race	a passing alien race	(16, 32)	('race', '.')	Some people thought the dinosaurs must have designed them ; others favored a passing alien race that had inadvertently-or deliberately-left behind their technology while picnicking on a beach somewhere .
80319	who dared question her intentions	who	PRON	who	nsubj	infidel	the infidel	(19, 23)	('infidel', '.')	@ , but if a man dares question a woman 's motives , lightning bolts smite the infidel who dared question her intentions .
80320	that did it	that	DET	that	nsubj	eyes	those ungodly , tilted , gray eyes	(12, 14)	('eyes', '.')	It was those ungodly , slightly tilted , blue-gray eyes that did it .
80321	who know you personally	who	PRON	who	nsubj	Those	Those	(3, 6)	('us', 'could')	Those of us who know you personally could have told the Grand Poo-Bah it was a waste of time , but there 's no telling the gods anything .
80322	that require physical presence	that	DET	that	nsubj	things	the things	(7, 10)	('things', '.')	My role is to do the things that require physical presence .
80323	that would summon my twin from the apartment	that	DET	that	nsubj	button	the button	(5, 12)	('button', '.')	I prodded the button that would summon my twin from the apartment .
80324	that meant what it sounded like it meant	it	PRON	that	nsubj	way	no possible way	(5, 12)	('way', '.')	There was no possible way that meant what it sounded like it meant .
80325	which I kept in a drawer	I	PRON	which	dobj	bank	the bank	(13, 18)	(',', '.')	""" I handed her a small giveaway one from the bank , which I kept in a drawer ."
80326	which is all I ' ve got at the moment	ve	PROPN	which	nsubj	memories	memories	(25, 34)	('-', '.')	""" As soon as I get you a new backup , we 'll be even-both of us will be dealing with memories-which is all I 've got at the moment . """
80327	who know where she 's hiding	she	PRON	who	nsubj	people	the few people	(16, 21)	('people', '.')	As it is , we 'll have to be satisfied with being among the few people who know where she 's hiding .
80328	who look at new cars	who	PRON	who	nsubj	people	people	(8, 12)	('people', '?')	""" The salesman keeps a log of people who look at new cars ? "" His image shrugged ."
80329	how much area that covers	that	DET	that	nsubj	idea	any idea	(8, 12)	"('area', ""'s"")"	Do you have any idea how much area that covers ?
80330	that have to be checked	that	DET	that	nsubj	possibilities	possibilities	(30, 34)	('possibilities', '.')	I 've checked all the easy things nearby , but it 's getting slower as I move further away , simply as a matter of pure numbers of possibilities that have to be checked .
80331	that comes in	that	DET	that	nsubj	mail	any mail	(10, 12)	('mail', '.')	Remind me to ask Amanda to go over any mail that comes in .
80332	that would indicate whether the body had ever been used	that	DET	that	nsubj	sort	the sort	(44, 53)	('thing', '.')	The officials were interested in things like whether alcohol was involved in the crash , but we were more curious about whether there were any calluses on his hands and feet , scars , fillings in his teeth-the sort of thing that would indicate whether the body had ever been used .
80333	that lived across the street	that	DET	that	nsubj	couple	the couple	(11, 15)	('couple', '.')	I 'd already called and made an appointment with the couple that lived across the street .
80334	who answered the door	who	PRON	who	nsubj	woman	The woman	(2, 5)	('woman', 'was')	The woman who answered the door was not cast in the same mould as Jill Vaughn .
80335	that made my apartment look upscale	apartment	NOUN	that	nsubj	kind	the kind	(8, 13)	('place', '.')	The Wayfarer Inn was the kind of place that made my apartment look upscale .
80336	which set off a new round of cursing on her part	which	DET	which	nsubj	asphalt	the tarry asphalt	(8, 18)	(',', ',')	The bag slumped onto the tarry asphalt , which set off a new round of cursing on her part , though she continued to hold her head .
80337	that need better hearing	that	DET	that	nsubj	Flies	Flies	(2, 5)	('Flies', ',')	""" Flies that need better hearing , "" he grumbled ."
80338	who had bounded from her car	who	PRON	who	nsubj	Amanda	Amanda	(19, 24)	(',', 'headed')	I sprinted towards the action at top speed , but was not fast enough to catch Amanda , who had bounded from her car headed straight for Lan .
80339	that got the Emmy last year	that	DET	that	nsubj	one	the one	(6, 11)	('one', '?')	""" Is n't he the one that got the Emmy last year ? """
80340	that got higher and brighter every second	that	DET	that	nsubj	point	a brilliant point	(31, 37)	('light', '.')	, Naomi Abila thought as she watched the incoming interplanetary shuttle rise slowly in the far north like a supernova kicked loose from the firmament , a brilliant point of light that got higher and brighter every second .
80341	that spoke of diligent exercise	that	DET	that	nsubj	grace	a grace	(6, 10)	('grace', '.')	She carried herself with a grace that spoke of diligent exercise .
80342	who shook her head	who	PRON	who	nsubj	Hilda	Hilda	(5, 8)	(',', '.')	She looked at Hilda , who shook her head .
80343	who promised to call on her	who	PRON	who	nsubj	member	an old schoolgirl team member	(31, 36)	('member', '.')	After brunch with Naomi and Sasha , she 'd spent the day getting her things in storage and connecting with Shira Hassan , an old schoolgirl friend and BHP team member who promised to call on her .
80344	"that would push Erebus "" impactor to its rendezvous some twelve years hence"	that	DET	that	nsubj	array	the power array	(30, 42)	('array', '.')	"She finished the walk with moist eyes and headed up to her room , to bury herself in the details of expanding the solar power and beam projector array that would push Erebus "" impactor to its rendezvous some twelve years hence ."
80345	who had sent her away to Earth at the age of sixteen	who	PRON	who	nsubj	man	the man	(6, 17)	('man', 'had')	Of course , the man who had sent her away to Earth at the age of sixteen had been a very sad person trying to put a failed marriage behind him .
80346	who are larger than life	who	PRON	who	nsubj	Those	Those	(1, 5)	('Those', 'live')	Those who are larger than life live by their own rules , Hilda thought .
80347	who found we could not make always	we	PRON	who	nsubj	people	two stubborn people	(6, 12)	('people', 'the')	and I are two stubborn people who found we could not make always
80348	whom he trusts	he	PRON	whom	dobj	Lobov	Dr. Lobov	(11, 13)	(',', '.')	"The physics rationale is apparently credible to Dr. Lobov , whom he trusts . """
80349	that would pull the impactor up to a gamma of ten	that	DET	that	nsubj	loops	the superconducting loops	(7, 17)	('loops', 'looked')	The lines holding the superconducting loops that would pull the impactor up to a gamma of ten looked exceedingly thin , but up close , Hilda could see they were more complex .
80350	we know that of	we	PRON	that	pobj	system	any inhabited star system	(12, 15)	('system', '.')	""" It contains the smallest population of any inhabited star system that we know of ."
80351	that want to get away from it all	that	DET	that	nsubj	minds	independent minds	(8, 15)	('minds', '.')	"It 's a good place for independent minds that want to get away from it all . """
80352	which promptly displayed the equations	which	DET	which	nsubj	screen	his wall screen	(12, 16)	(',', '.')	He frowned more deeply and waved at his wall screen , which promptly displayed the equations .
80353	that it feels right	it	PRON	that	mark	problem	the cause problem	(16, 19)	('problem', '.')	"QMF seeding is such an elegant , clear solution to the first-cause problem that it feels right . """
80354	who think I have been leader too long	I	PRON	who	nsubj	people	people	(5, 12)	('here', '.')	""" There are people here who think I have been leader too long ."
80355	who knew	who	PRON	who	nsubj	system	the whole damn planetary system	(5, 6)	('system', '.')	the whole damn planetary system who knew .
80356	that lies on each man 's head	that	DET	that	nsubj	doom	the doom	(11, 17)	('doom', ',')	"but what dies not is what is said , the doom that lies on each man 's head , "" Wotan finished ."
80357	that led to chilled her	that	DET	that	nsubj	conclusion	The conclusion	(2, 6)	('conclusion', '.')	"The conclusion that led to chilled her . """
80358	who put off his execution by promising to teach the king 's horse to talk	who	PRON	who	nsubj	prisoner	the condemned prisoner	(7, 21)	('prisoner', '.')	""" You are like the condemned prisoner who put off his execution by promising to teach the king 's horse to talk ."
80359	that ran the system and normally , nobody thought of them	nobody	PRON	that	nsubj	intelligences	the artificial intelligences	(12, 22)	('intelligences', '.')	There were very good , unbreachable safeguards built into the artificial intelligences that ran the system and normally , nobody thought of them .
80360	that had to be done	that	DET	that	nsubj	things	all the things	(14, 18)	('things', '.')	Sanity faded back in and with it all the worries , all the things that had to be done .
80361	that ran the BHP	that	DET	that	nsubj	Kremer	the Dr. Kremer	(8, 11)	('Kremer', 'was')	So in his mind , the Dr. Kremer that ran the BHP was not the same person as the naked woman beside him .
80362	that dumped her	that	DET	that	nsubj	someone	someone	(14, 16)	('someone', ',')	That 's only been done once-a girl had a baby by someone that dumped her , so she dumped the baby .
80363	who will come up with a way to counter it	who	PRON	who	nsubj	people	other people	(19, 28)	('people', '.')	""" If I can think of it , Father will think of it and so will other people who will come up with a way to counter it ."
80364	that made for anyone associated with the project	that	DET	that	nsubj	problems	the political problems	(15, 22)	('problems', '.')	It was all deliberately low key , given Wotan 's reluctance and the political problems that made for anyone associated with the project .
80365	that trailed back along the length of the impactor	that	DET	that	nsubj	ions	recombining ions	(39, 47)	('ions', '.')	At the tip of the cone an intense glowing ring sparkled with the detonations of millions of particles each second and gave rise to a diaphanous rose of varicolored light , an ever-shifting aurora of recombining ions that trailed back along the length of the impactor .
80366	that wiggled a bit when he spoke	he	PRON	that	nsubj	moustache	a thick moustache	(5, 11)	('moustache', '.')	"He had a thick moustache that wiggled a bit when he spoke . """
80367	that circled the base of the ship	that	DET	that	nsubj	corridor	the toroidal corridor	(8, 14)	('corridor', '.')	Her escort led her down the toroidal corridor that circled the base of the ship .
80368	who have fled in exile to Bee	who	PRON	who	nsubj	three	The three	(3, 9)	('three', 'have')	The three who have fled in exile to Bee
80369	that has resumed pushing the impactor	that	DET	that	nsubj	beam	The beam	(3, 8)	('beam', 'is')	"The beam that has resumed pushing the impactor is coming from Bee . """
80370	who still had her security escort	who	PRON	who	nsubj	Hilda	Hilda	(15, 20)	(',', '.')	As the chamber emptied , Naomi and her father came up to Hilda , who still had her security escort .
80371	that was all the more precious for the cold edge in Wotan Kremer 's voice when he had sent bis daughter away again	he	PRON	that	nsubj	hug	a hug	(5, 27)	('hug', '.')	They would share a hug that was all the more precious for the cold edge in Wotan Kremer 's voice when he had sent bis daughter away again .
80372	that looked out into the snow	that	DET	that	nsubj	sides	the sides	(12, 17)	('sides', '.')	There were cupboards on both long walls and windows on the sides that looked out into the snow .
80373	who was several years younger than his sister	who	PRON	who	nsubj	boy	The boy	(3, 10)	(',', ',')	"The boy , who was several years younger than his sister , jumped up and down . """
80374	that held her clothing on and slipped out of it	that	DET	that	nsubj	tab	the metal tab	(8, 17)	('tab', '.')	Littlest-One pulled down the metal tab that held her clothing on and slipped out of it .
80375	who called Openshot a threat to human destiny	who	PRON	who	nsubj	developer	The weapons developer	(3, 10)	('developer', '?')	The weapons developer who called Openshot a threat to human destiny ?
80376	that conveyed little sympathy for the stranded team	that	DET	that	nsubj	tone	an exasperated tone	(9, 16)	('tone', ',')	"Finally , she said , with an exasperated tone that conveyed little sympathy for the stranded team , "" Look , I 'm not saying we should n't help them ."
80377	that controls the nozzle cuff broke	cuff	NOUN	that	nsubj	piping	the hydraulic piping	(4, 9)	('piping', '.')	But the hydraulic piping that controls the nozzle cuff broke .
80378	that got everywhere	that	DET	that	nsubj	oil	oil	(29, 31)	('oil', '.')	The cut-off is behind the panel , and when we started to open the panel , when we just cracked it , it was full of oil that got everywhere .
80379	that were blowing up and would contaminate the ship if we dug through to them	we	PRON	that	nsubj	exposure	minimal exposure	(15, 29)	('vacuum', '.')	They had a bunch of control lines meant to receive minimal exposure to vacuum that were blowing up and would contaminate the ship if we dug through to them .
80380	both of whom had only little halos over their ears	both	DET	whom	pobj	show	an exaggerated show	(23, 32)	('of', 'laughed')	""" That 's true , "" she snorted , and made an exaggerated show of looking at Cutter and Caldridge , both of whom had only little halos over their ears ."
80381	that loomed in the middle of the landing site	that	DET	that	nsubj	spire	the looking spire	(30, 38)	('stone', '.')	She peered out of the window and glanced at the two bottom-camera views and held her breath as they drifted past the sharp-looking spire of stone that loomed in the middle of the landing site .
80382	that performed the treatment	that	DET	that	nsubj	company	the company	(4, 7)	('company', ',')	ReJuvenex , the company that performed the treatment , thinks the failure of Sarah to become young again may be related to experimental therapies she underwent decades previously for breast cancer-but regardless of the cause , there 's nothing they can do .
80383	who had been sixteen then	who	PRON	who	nsubj	son	her son	(26, 30)	(',', ',')	Sarah had ended up orchestrating the gathering of anonymous replies through a web site , and , at the urging of her son Carl , who had been sixteen then , she had included her own set of survey responses in the bundle of replies sent to Sigma Draconis .
80384	that might come at some point	that	DET	that	nsubj	questions	up questions	(10, 15)	('questions', '.')	""" responses when dealing with follow-up questions that might come at some point ."
80385	which it will	it	PRON	which	dobj	variation	any individual psychological variation	(37, 39)	('-', ',')	"Because , "" Sarah said , as they passed the Feins "" place , "" all races will face comparable problems as time goes on , and if the race has any individual psychological variation-which it will , unless they 've done as you suggest and become a hive mind-they 'll be debating those issues . """
80386	who practice SETI	who	PRON	who	nsubj	races	those races	(8, 10)	('races', '.')	"universal debate-at least among those races who practice SETI . """
80387	that expands their powers	that	DET	that	nsubj	technology	technology	(21, 24)	('technology', '.')	Anyway , setting aside abortion , I still think most races will face very similar moral issues as they develop technology that expands their powers .
80388	that survives long enough	that	DET	that	nsubj	race	every race	(3, 6)	('race', 'will')	-but every race that survives long enough will eventually struggle with the ramifications of getting to play God .
80389	that live long enough	that	DET	that	nsubj	races	all races	(26, 29)	('races', 'eventually')	"but we do n't have a lot of synonyms for the concept : if you define God as the creator of the universe , all races that live long enough eventually become Gods . """
80390	that Carl likes to play	Carl	PROPN	that	mark	Sims	The Sims	(3, 7)	('Sims', '?')	The Sims that Carl likes to play ?
80391	who could keep up with him	who	PRON	who	nsubj	someone	someone	(11, 16)	('someone', ',')	Not just the sex , but just being with someone who could keep up with him , and Lenore sounded relieved .
80392	that film portrayed	film	NOUN	that	dobj	wonders	the wonders	(31, 33)	('wonders', 'were')	his father , sitting next to him at Toronto 's Glendale Theatre , had been forty-three then , meaning Don would be younger than him when the wonders that film portrayed were supposed to come to pass : Pan Am space planes , giant wheelshaped space stations with Howard Johnson hotels , cities on the moon , humans traveling out to Jupiter , cryogenic suspended animation , and-Open the pod-bay doors , Hal-true artificial intelligence .
80393	that could turn anything into anything else	that	DET	that	nsubj	assembler	the nanotech assembler	(28, 34)	('assembler', 'was')	The technological singularity had never happened ; extreme body modification , either through genetic engineering or with artificial parts , never became popular , the nanotech assembler that could turn anything into anything else was still the stuff of dreams .
80394	who had	who	PRON	who	nsubj	people	old married people	(7, 8)	('people', ',')	-the companionable silence of old married people who had , decades ago , run out of points of view to share or jokes to tell or issues to explore .
80395	who shared his apparent physical age	who	PRON	who	nsubj	People	People	(1, 6)	('People', 'would')	People who shared his apparent physical age would never appeal to him intellectually , emotionally .
80396	who was as young as he looked	he	PRON	who	nsubj	woman	about any woman	(34, 40)	('woman', ',')	And it was way too soon to go further with this conversation , but the reality was clear : his future with Lenore , or , he imagined , with just about any woman who was as young as he looked , would depend on his being willing to be a father again .
80397	who was almost ninety	who	PRON	who	nsubj	billionaire	a billionaire	(17, 20)	('billionaire', '.')	And she became even more famous when , at twenty-six , she married a billionaire who was almost ninety .
80398	who was fake	who	PRON	who	nsubj	woman	the woman	(9, 11)	(',', '.')	And it was he , not the woman , who was fake .
80399	that sounded so different from the way he currently did - came on	he	PRON	that	nsubj	version	the thin , weary version	(38, 50)	('it', ',')	"His datacom worked just fine down in tunnels , but each time he called , his household phone rang and rang until his own voice-his own previous voice , the thin , weary version of it that sounded so different from the way he currently did-came on , saying , "" Hello ."
80400	which was dark and deserted	which	DET	which	nsubj	Avenue	Park Home Avenue	(17, 21)	(',', '.')	He ran up the escalator , through a turnstile , and exited onto Park Home Avenue , which was dark and deserted .
80401	that were torturing him	that	DET	that	nsubj	thoughts	the thoughts	(25, 28)	('thoughts', ',')	He could n't meet her eyes as they waited and waited until , at last , the ambulance 's siren drowned out the thoughts that were torturing him , and everything was bathed in strobing red through the open front door .
80402	which had its own little motors	which	DET	which	nsubj	support	the support	(3, 8)	(',', ',')	the support , which had its own little motors , she would n't even need crutches while she healed , although a cane was advisable .
80403	who wanted it	who	PRON	who	nsubj	those	all those	(15, 17)	('those', '.')	Why , someday , even the magic of rejuvenation would be available to all those who wanted it .
80404	that measured about a meter on a side	that	DET	that	nsubj	crate	a cubic crate	(8, 15)	('crate', '.')	The Mozo arrived disassembled in a cubic crate that measured about a meter on a side .
80405	that could animate to match speech patterns	that	DET	that	nsubj	eyes	the eyes	(22, 28)	('eyes', '.')	He had seen similar things on some other robots he 'd run into : a horizontal black line beneath the eyes that could animate to match speech patterns .
80406	that looked more or less human	that	DET	that	nsubj	robots	robots	(5, 10)	('robots', 'was')	Although the market for robots that looked more or less human was small , people did like robots to have some facial expression .
80407	that suggested the machine knew Don was kidding	Don	PROPN	that	nsubj	way	a way	(19, 26)	('way', '.')	""" I am the Great and AllPowerful Oz . "" The robot 's mouth outline moved in a way that suggested the machine knew Don was kidding . """
80408	who is ten years older than my aunt	who	PRON	who	nsubj	uncle	an uncle	(6, 13)	('uncle', '.')	I 've got an uncle who is ten years older than my aunt .
80409	that has gone down between us	that	DET	that	nsubj	everything	everything	(3, 8)	('everything', 'has')	"That everything that has gone down between us has been a lie ? """
80410	who turned things physical	who	PRON	who	nsubj	one	the one	(12, 15)	('one', '.')	""" Look , "" he said , "" you 're the one who turned things physical . """
80411	who has undergone this process	who	PRON	who	nsubj	person	the next poorest person	(13, 17)	('person', '.')	I am four orders of magnitude poorer than the next poorest person who has undergone this process .
80412	who looked like his grandmother	who	PRON	who	nsubj	woman	a woman	(11, 15)	('woman', ';')	He would have felt silly being driven about by a woman who looked like his grandmother ; he still had n't gotten his license renewed .
80413	that said he was stating the obvious	he	PRON	that	nsubj	way	a way	(8, 14)	('way', '.')	Cassie rolled her blue eyes in a way that said he was stating the obvious .
80414	that worked on your grandfather	that	DET	that	nsubj	process	the process	(3, 7)	('process', 'did')	But the process that worked on your grandfather did n't work for me .
80415	who had turned thirteen over the summer	who	PRON	who	nsubj	grandson	her grandson	(14, 20)	(',', '.')	"At dinner , Sarah ended up sitting next to her grandson Percy , who had turned thirteen over the summer . """
80416	that could do figuring for them	that	DET	that	nsubj	machine	a machine	(7, 12)	('machine', ',')	After all , with a machine that could do figuring for them , kids might never learn to really understand math , the critics said .
80417	which showed some sky and the red bricks of the house next door	which	DET	which	nsubj	window	the window	(6, 18)	('-', '.')	Sarah looked out the window-which showed some sky and the red bricks of the house next door .
80418	who had come by the house for Don 's latest checkup	who	PRON	who	nsubj	doctor	the Rejuvenex doctor	(16, 26)	(',', '.')	""" How do you feel ? "" asked Petra Jones , the Rejuvenex doctor , who had come by the house for Don 's latest checkup ."
80419	that happen during a rollback	that	DET	that	nsubj	changes	all the changes	(8, 12)	('biochemistry', '.')	"what with all the changes to your biochemistry that happen during a rollback . """
80420	who had known Bill back then	who	PRON	who	nsubj	room	the room	(9, 14)	('room', ',')	He was the only one in the room who had known Bill back then , and
80421	that had met here	that	DET	that	nsubj	troop	the same Scout troop	(58, 61)	('troop', '.')	One of only four boys on a block mostly populated by girls , Mike-Mikey , as he 'd been known back then , or Mick , as he 'd styled himself briefly during his early teens-had been a mainstay of street-hockey games , and had belonged to the same Scout troop that had met here .
80422	who had rarely , if ever	who	PRON	who	nsubj	youngsters	youngsters	(21, 26)	('youngsters', ',')	Presumably Carl and Angela were off somewhere else in the church , perhaps busily straightening collars and smoothing dresses on youngsters who had rarely , if ever , had to wear such things before .
80423	who could speak to his childhood or his first adulthood	who	PRON	who	nsubj	one	no one	(11, 20)	('one', ',')	his own eventual funeral , there would be no one who could speak to his childhood or his first adulthood , no one to say anything about the initial eighty or ninety years of his life .
80424	who had moved on from Bill 's love of maple syrup to extolling his general prudence	who	PRON	who	nsubj	Pam	Pam	(9, 24)	(',', '.')	He excused himself from Pam and Mike , who had moved on from Bill 's love of maple syrup to extolling his general prudence .
80425	"who first shouted , "" Car"	who	PRON	who	nsubj	Bill	Bill	(18, 23)	('Bill', '!')	""" Whenever we were playing street hockey and a car was coming , it was always Bill who first shouted , "" Car ! ' """
80426	that he doubtless regretted right up until the end	he	PRON	that	dobj	doozies	""" some doozies"	(4, 12)	('doozies', '.')	""" some doozies that he doubtless regretted right up until the end ."
80427	which are about as stable as a life of crime	which	DET	which	nsubj	transuranics	the transuranics	(12, 21)	('(', ')')	These are freak occurrences , though ; aside from the transuranics ( which are about as stable as a life of crime ) , technetium is the rarest element in the natural universe and forms no known minerals .
80428	that glitter	that	DET	that	nsubj	things	things	(28, 29)	"('things', '""')"	"Although we may suspect the irony was lost on our randy young fellow , Ms. Vyas 's name can of course be translated as "" desire for things that glitter "" -an"
80429	that followed	that	DET	that	nsubj	all	all	(15, 16)	('all', '.')	And thus in five quick minutes was the pattern of their relationship set for all that followed .
80430	who consulted him sometimes for his earth - science expertise during trenching and filling operations	who	PRON	who	nsubj	bosses	his bosses	(36, 50)	(',', '.')	"Solanki had of course worked with a variety of machines on his parents "" farm , including forklifts , and was by all accounts a capable driver , well liked by his bosses and coworkers , who consulted him sometimes for his earth-science expertise during trenching and filling operations ."
80431	"Solanki proclaimed which to be "" alluvial"	Solanki	PROPN	which	dobj	dump	their Malpura dump	(22, 28)	(',', ',')	"According to newspaper reports , the team once found a large green nugget of copper oxide in their Malpura dump , which Solanki proclaimed to be "" alluvial , "" or washed down from higher ground ."
80432	in whom sympathy was not a notable trait	sympathy	NOUN	whom	pobj	characters	unsavory characters	(68, 75)	"('in', '""')"	But Vyas , now Abha Solanki , either could n't or would n't mend her ways , and by the end of 2003 she had managed not only to spend most of their combined income , plus her dowry and Rocky 's nest egg , but to accumulate ( by some accounts ) up to a quarter-million rupees in debt , to unsavory characters in whom sympathy was not a notable trait .
80433	who makes more money than you - is publishing poetry	you	PRON	who	nsubj	wife	your wife	(15, 24)	('-', '.')	Imagine you 're an unknown scientist in a backwater town , and your wife-who makes more money than you-is publishing poetry .
80434	who spends his days burying the poison	who	PRON	who	nsubj	ideas	such ideas	(14, 20)	(',', 'churned')	Now , it is n't strange for a man to have such ideas , who spends his days burying the poison churned out by his wife 's employer .
80435	that put Solanki where he is today	he	PRON	that	nsubj	stuff	the stuff	(14, 20)	('stuff', '.')	Let 's roll back a moment here and take a look at the stuff that put Solanki where he is today .
